bgg_id,boardgame_name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users
145588.0,Citrus,2013.0,2,5,60,10,1283,7.11,1641,2.49,1919.0
31552.0,Wings of War: Deluxe Set,2007.0,2,4,45,0,1132,7.26,1642,2.01,1658.0
281466.0,Yedo: Deluxe Master Set,2020.0,1,5,90,12,602,8.21,1643,3.26,2247.0
249746.0,Nanty Narking,2019.0,2,4,60,14,841,7.67,1644,2.34,2019.0
89910.0,"Run, Fight, or Die!",2014.0,1,4,40,13,1796,6.91,1645,1.95,3062.0
46255.0,Campaign Manager 2008,2009.0,2,2,45,13,2594,6.66,1646,2.21,2998.0
168788.0,Rum & Bones,2015.0,2,6,60,14,1671,6.97,1647,2.3,3725.0
136955.0,Hands in the Sea,2016.0,2,2,120,14,669,7.92,1648,3.0,1580.0
40393.0,FITS,2009.0,1,4,45,8,3088,6.58,1649,1.39,3297.0
13551.0,Oltre Mare,2004.0,2,5,60,12,2702,6.65,1650,2.51,3930.0
235014.0,Sorcerer City,2020.0,1,6,60,14,899,7.59,1651,2.25,2121.0
